X,Y,FID,OBJECTID,TFM_ID,TFM_DESC,TFM_TYP_DE,MOVEMENT_T,SITE_DESC,ROAD_NBR,DECLARED_R,LOCAL_ROAD,DATA_SRC_C,DATA_SOURC,TIME_CATEG,YEAR_SINCE,LAST_YEAR,AADT_ALLVE,AADT_TRUCK,PER_TRUCKS
144.964936549699075,-37.823557575639569,44765,44066,52360,KAVANAGH ST S OF SOUTHBANK BLVD,INTERSECTION,All Moves,SOUTHBANK BLVD/KAVANAGH ST/MOORE ST,9999,Missing Data,KAVANAGH STREET,SCATS,Scats,Between 5 and 10 Years,10,2006,2200,0,0
145.773720398127011,-38.082399606974683,44766,44860,48281,OLD PRINCES HWY W BD 300M W OF SAND RD,MIDBLOCK,All Moves,OLD PRINCES HWY 300M W OF SAND RD,9999,Missing Data,PRINCES WAY,APARX,Classification,Greater than 10 Years,22,1994,120,10,0.09
143.368017796228571,-36.639752555162609,44767,44565,44560,BENDIGO ST ARNAUD ROAD(TYPE Z)97.2KM W BD W OF KOOREH,MIDBLOCK,All Moves,BENDIGO ST ARNAUD ROAD(TYPE Z)97.2KM W OF KOOREH,2110,WIMMERA HIGHWAY,WIMMERA HIGHWAY,APARX,Classification,Greater than 10 Years,24,1992,250,40,0.18
145.466256563158026,-36.601381433875297,44768,44164,45285,EUROA-SHEPPARTON RD S BD 900M N OF MURCHISON-VIOLET TOWN RD @ 31.1,MIDBLOCK,All Moves,EUROA-SHEPPARTON RD 900M N OF MURCHISON-VIOLET TOWN RD @ 31.1,5416,EUROA-SHEPPARTON ROAD,EUROA-SHEPPARTON ROAD,APARX,Classification,Between 2 and 5 Years,3,2013,490,50,0.11
144.94378470769604,-37.746460238831986,44769,44458,46309,REYNARD ST W OF MELVILLE RD,INTERSECTION,All Moves,MELVILLE RD/REYNARD ST,9999,Missing Data,REYNARD STREET,SCATS,Scats,Between 2 and 5 Years,5,2011,3100,0,0
142.761542601701422,-37.061564494377642,44770,44957,43965,COOPER ST STAWELL W BD 100M W OF SCHOOL CROSSING,MIDBLOCK,All Moves,COOPER ST STAWELL 100M W OF SCHOOL CROSSING,9999,Missing Data,COOPER STREET,APARX,Classification,Greater than 10 Years,24,1992,480,30,0.08
146.861793018821629,-36.110437277757221,44771,44861,44259,MURRAY VALLEY HWY W BD 200M W OF MOOREFIELD PARK RD @ 1.2KM FROM WODONGA,MIDBLOCK,All Moves,MURRAY VALLEY HWY 200M W OF MOOREFIELD PARK RD @ 1.2KM FROM WODONGA,7392,5218R 2550R,MELBOURNE-HUME IN RAMP ON,APARX,Classification,Between 5 and 10 Years,10,2006,2400,380,0.16
145.17310029767458,-37.834773185789537,44772,44067,46538,CANTERBURY_RD E of SPRINGVALE_RD,INTERSECTION,Left Missing,SPRINGVALE RD/CANTERBURY RD,5802,CANTERBURY ROAD,CANTERBURY ROAD,SCATS,Scats,Greater than 10 Years,11,2005,21000,0,0
142.547278652607929,-36.412542776459425,44773,44566,53471,STAWELL-WARRACKNABEAL RD S BD 400M S OF NULLAN SIDING RD @ 21.8KM FROM WARRACKNA,MIDBLOCK,All Moves,STAWELL-WARRACKNABEAL RD 400M S OF NULLAN SIDING RD @ 21.8KM FROM WARRACKNA,5272,STAWELL-WARRACKNABEAL ROAD,STAWELL-WARRACKNABEAL ROAD,APARX,Classification,Greater than 10 Years,19,1997,130,30,0.24
145.234347286213023,-37.800563694399969,44774,44165,44602,WARRANDYTE RD SW OF WONGA RD,INTERSECTION,All Moves,WARRANDYTE RD/WONGA RD,5806,RINGWOOD-WARRANDYTE ROAD,WARRANDYTE ROAD,SCATS,Scats,Between 5 and 10 Years,8,2008,14000,0,0
